County;Subcounty;Ward
;;Tseikuru
;;Tharaka
;;Kwamutonga/Kithumula
;;Kyome/Thaana
;;Nguutani
;;Migwani
;;Kiomo/Kyethani
;;Central
;;Kivou
;;Nguni
;;Nuu
;;Mui
;;Waita
;;Mutonguni
;;Kauwi
;;Matinyani
;;Kisasi
;;Mbitini
;;Kwavonza/Yatta
;;Kanyangi
;;Miambani
;;Township
;;Kyangwithya West
;;Mulango
;;Kyangwithya East
;;Zombe/Mwitika
;;Nzambani
;;Chuluni
;;Voo/Kyamatu
;;Endau/Malalani
;;Mutitu/Kaliku
;;Ikanga/Kyatune
;;Mutomo
;;Mutha
;;Ikutha
;;Kanziko
;;Athi
;;Gombato Bogwe
;;Ukunda
;;Kinondo
;;Ramisi
;;Pongwe/Kikoneni
;;Dzombo
;;Mwereni
;;Vanga
;;Tsimba Golini
;;Waa
;;Tiwi
;;Kubo South
;;Mkongani
;;Ndavaya
;;Puma
;;Kinango
;;Mackinon Road
;;Chengoni/Samburu
;;Wasimbete
;;Mwabila
;;Kasemeni
;;Ol-Moran
;;Rumuruti Township
;;Githiga
;;Marmanet
;;Igwamiti
;;Salama
;;Ngobit
;;Tigithi
;;Thingithu
;;Nanyuki
;;Umande
;;Sosian
;;East Kanyamkago
;;Segera
;;Mugogodo West
;;Mugogodo East
;;Faza
;;Kiunga
;;Basuba
;;Shella
;;Mkomami
;;Hindi
;;Mkunumbi
;;Hongwe
;;Witu
;;Wote
;;Bahari
;;Kivaa
;;Masinga Central
;;Ekalakala
;;Muthesya
;;Ndithini
;;Ndalani
;;Matuu
;;Kithimani
;;Ikombe
;;Katangi
;;Kangundo North
;;Kangundo Central
;;Kangundo East
;;Kangundo West
;;Tala
;;Matungulu North
;;Matungulu East
;;West Kanyamkago
;;Matungulu West
;;Kyeleni
;;Mitaboni
;;Kathiani Central
;;Upper Kaewa/Iveti
;;Upper Kaewa/Kaani
;;Athi River
;;Kinanie
;;Muthwani
;;Syokimau
;;Kalama
;;Mua
;;Mutituni
;;Machakos Central
;;Mumbuni North
;;Muvuti/Kiima Kimwe
