|location|date|damage_livelihood|damage_general|people_affected|people_dead|houses_affected|livelihood_affected|infrastructures_affected|infrastructures_mentioned
5051|Senanga|||||||||dams
5052|Zambia|||||||||schools
5053|Zambia|||||||||schools
5054|Zambia|2008/9|||5 |||||
5055|Zambia|2008/9||||||||Markets
5056|Zambia|2008/9||||||||Markets
5057|Zambia|||||||||schools
5058|Zambia|||||||||schools
5059|Zambia|||||||||school
5060|Zambia|||||||||school
5061|Zambia|2008, 2007, 2007/08, 2006/07, of 2008, 2008/09||||||||market
5062|Zambia|2008, 2007, 2007/08, 2006/07, of 2008, 2008/09||||||||market
5063|Zambia|on 2009/10 Mar, 2008/09 mar, 2008/09 mar||||||||market
5064|Zambia|2008/09 mar, 2008/09 mar||||||||market
5065|Zambia|2008/09 mar, 2008/09 mar||||||||market
5066|Zambia|2008/09 mar, 2008/09 mar||||||||market
5067|Zambia|||||||||market
5068|Zambia|||||||||dam
5069|Zambia|2006, 2006||||||||house
5070|Zambia|||||||||school
5071|Zambia|||||||||schools
5072|Zambia|||||||||schools
5073|Zambia||||||||8013 schoolschools|
5074|Zambia||||||||583 schoolschools|
5075|Zambia|||||||||schools
5076|Zambia|||||||||schools
5077|Zambia|||||||||schools
5078|Zambia|||||||||schools
5079|Zambia||||||||2716 schoolschools|
5080|Zambia|||||||||schools
5081|Zambia|||||||||schools
5082|Zambia|||||||||schools
5083|Zambia|||||||||schools
5084|Zambia|||||||||school
5085|Zambia|of 2007||||||||school
5086|Zambia|||||||||school
5087|Zambia|||||||||schools
5088|Zambia|||||||||schools
5089|Kaoma|May 2009, at 2008/09 mar, May 2009, 2009/10 mar||||||||market
5090|Kaoma|May 2009, at 2008/09 mar, May 2009, 2009/10 mar||||||||market
5091|Kaoma|May 2009, at 2008/09 mar, May 2009, 2009/10 mar||||||||market
5092|Kaoma|May 2009, at 2008/09 mar, May 2009, 2009/10 mar||||||||market
5093|Sesheke|December 2008, May 2009||||||||market
5094|Lukulu|December 2008, May 2009||||||||market
5095|Zambia|||||||||clinics
5096|Zambia|||||||||clinics
5097|Zambia|2009|||5 |||||
5098|Sesheke||||||||1 clinic|
5099|Sesheke|||||||||clinic
5100|Zambia|||||||||school
5101|Zambia|||||||||school
5102|Zambia|||||||||school
5103|Zambia|||||||||school
5104|Zambia||||1232 |||||
5105|Zambia||||1680 |||||
5106|Zambia|||||||||houses
5107|Zambia|||||||||houses
5108|Zambia|||||||||houses
5109|Zambia|||||||||houses
5110|Zambia|2008/9, May 2009||||||||roads
5111|Zambia|2008/9, May 2009||||||||roads
5112|Zambia|2008/9, May 2009||||||||bridges
5113|Zambia|2008/9, May 2009||||||||bridges
5114|Zambia|2008/9, May 2009||||||||school
5115|Kaoma|at 2008/09 mar, May 2009||||||||market
5116|Kasempa||||81145 |||||
5117|Zambia||||5 |||||
5118|Chavuma||||5 |||||
5119|Zambia|||||||||school
5120|Zambia|||||||||school
5121|Zambia|||||||||school
5122|Zambia|||||||||schools
5123|Zambia|||||||||schools
5124|Western||||1232 |||||
5125|Kasempa|August 2009, April 2010||||||||market
5126|Zambia|||||||||school
5127|Zambia|||||||||schools
5128|Zambia|||||||||schools
5129|Zambia|||||||||Roads
5130|Zambia|||||||||Roads
5131|Zambia|||||||||Bridges
5132|Zambia|||||||||Bridges
5133|Zambia|||||||||school
5134|Zambia|||||||||home
5135|Zambia|||||||||Roads
5136|Zambia|||||||||Roads
5137|Zambia|||||||||Bridges
5138|Zambia|||||||||Bridges
5139|Zambia|||||||||School
5140|Zambia||||||5 |||
5141|Zambia|||||||||house
5142|Zambia|2008/09|||13 |||||
5143|Zambia|January 2009||||||||Home
5144|Zambia|January 2009 to date, 2008/09 1||||||||school
5145|Zambia|January 2009 to date, 2008/09 1||||||||school
5146|Zambia|2008/9 mar||||||||market
5147|Zambia|2008/09||||||2 farm||
5148|Zambia|||||||2 crop||
5149|Zambia|||||||||market
5150|Zambia|||||||||market
5151|Zambia|||||||||roads
5152|Zambia|||||||||roads
5153|Zambia|||||||||bridges
5154|Zambia|||||||||bridges
5155|Zambia|||||||||market
5156|Zambia|||||||||market
5157|Zambia|May 2008||||||||house
5158|Zambia|||||||||Dam
5159|Zambia|||||||||house
5160|Zambia|||||||||house
5161|Zambia||||5 |||||
5162|Zambia||||5 |||||
5163|Zambia|May 2009, Dec 2008||||||||market
5164|Zambia|||||||||dam
5165|Zambia|||||||||school
5166|Zambia|||||||||School
5167|Zambia|||||||||Houses
5168|Zambia|||||||||Houses
5169|Zambia|||||||||School
5170|Zambia|||||||||School
5171|Zambia|||||||||School
5172|Zambia|||||||||clinic
