RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1074807	-1594935	17.7175	1.153056	17:43:03N	1:09:11E	31QCV0414159892	NE31-09	L	LCTY		ML	09				N				TABARINT	Tabarint	Tabarint	TABARINT	Tabarint	Tabarint		2006-06-01	1,2,3,4,5	1			1993-09-01		
3	-1074807	-1596866	17.7175	1.153056	17:43:03N	1:09:11E	31QCV0414159892	NE31-09	L	LCTY		ML	09				V				TINTABARINT	Tin Tabarint	Tin Tabarint	TINTABARINT	Tin Tabarint	Tin Tabarint		2006-06-01	1,2,3,4,5				1993-09-01		
3	-1065829	-1582311	14.75	-11.45	14:45:00N	11:27:00W	29PKS3623332112	ND29-05	L	RESF		ML	00				N			Forêt Classée	FORETCLASSEEDEDAGDAG	Forêt Classée de Dag Dag	Foret Classee de Dag Dag	DAGDAG FORETCLASSEEDE	Dag Dag, Forêt Classée de	Dag Dag, Foret Classee de		1993-12-18	1,2,3,4,5	1			1993-09-01		
3	-1075255	-1595605	21.804722	-1.233333	21:48:17N	1:14:00W	30QXK8262712259	NF30-12	L	LCTY		ML	08				N				TAZOUIKERT	Tazouikert	Tazouikert	TAZOUIKERT	Tazouikert	Tazouikert		2006-05-25	1,2,3,4,5,6,7,8,9	1			1993-09-01		
3	-1076124	-1597021	16.718611	-1.858056	16:43:07N	1:51:29W	30QXD2173948776	NE30-15	L	LCTY		ML	08				N				TIOUAZ	Tiouaz	Tiouaz	TIOUAZ	Tiouaz	Tiouaz		2006-05-23	1,2,3,4,5,6,7,8,9	1			1993-09-01		
3	-1075402	-1595836	18.683333	.816667	18:41:00N	0:49:00E	31QBA6972967195	NE31-05	L	LCTY		ML	10				N				TERECHT	Terecht	Terecht	TERECHT	Terecht	Terecht		2006-06-01	1,2,3,4,5	1			1993-09-01		
3	-1075176	-1595481	17.652778	1.096944	17:39:10N	1:05:49E	31QBV9811652788	NE31-09	L	LCTY		ML	09				N				TARAOUE	Taraoué	Taraoue	TARAOUE	Taraoué	Taraoue		2006-06-01	1,2,3,4,5	1			1993-09-01		
3	-1076062	-1596927	17.35	-1.316667	17:21:00N	1:19:00W	30QXE7886519058	NE30-12	L	LCTY		ML	00				N				TINTEHOUN	Ti-n-Tehoun	Ti-n-Tehoun	TINTEHOUN	Ti-n-Tehoun	Ti-n-Tehoun		1993-12-18	1,2,3,4,5	1			1993-09-01		
3	-1075336	-1595737	18.8	1.5	18:48:00N	1:30:00E	31QCA4192379365	NE31-06	L	LCTY		ML	10				N				TELEILET	Teleïlet	Teleilet	TELEILET	Teleïlet	Teleilet		2006-06-02	1,2,3,4,5	1			1993-09-01		
3	-1075336	-1595748	18.8	1.5	18:48:00N	1:30:00E	31QCA4192379365	NE31-06	L	LCTY		ML	10				V				TELEYLETT	Teleylett	Teleylett	TELEYLETT	Teleylett	Teleylett		2006-06-02	1,2,3,4,5				1993-09-01		
